Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
The Altitude 紀雲峰,90000.0,3.0,3.5,134.8, Happy Valley/Mid Level East, Hong Kong Island
MARINELLA 深湾九號,90000.0,4.0,3.0,142.51, Aberdeen/Ap Lei Chau, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,90000.0,3.0,2.5,190.36, Peak/South, Hong Kong Island
Villa Cecil 趙苑,90000.0,4.0,3.0,350.8, Peak/South, Hong Kong Island
Eden Gate 雲門,90000.0,3.0,2.0,131.92, Kowloon Tong/Beacon Hill, Kowloon
United Mansions 騰黃閣,90000.0,4.0,3.0,183.48, Wanchai/Causeway Bay, Hong Kong Island
MARINELLA 深湾九號,90000.0,3.0,2.0,124.68, Aberdeen/Ap Lei Chau, Hong Kong Island
The Mount Austin The Mount Austin,89000.0,3.0,3.0,134.52, Peak/South, Hong Kong Island
Ventris Place 雲地利台,89000.0,5.0,3.0,173.08, Happy Valley/Mid Level East, Hong Kong Island
15 Ho Man Tin Hill Road 灝畋峰,88000.0,3.0,2.0,137.12, Ho Man Tin/King's Park, Kowloon
Hirst Mansions,88000.0,3.0,2.5,189.06, Peak/South, Hong Kong Island
High West 西苑,88000.0,3.0,3.0,196.21, Peak/South, Hong Kong Island
Bamboo Grove 竹林苑,87000.0,3.0,2.0,133.97, Wanchai/Causeway Bay, Hong Kong Island
Middleton Towers 明德村,87000.0,4.0,2.0,277.87, Aberdeen/Ap Lei Chau, Hong Kong Island
The Repulse Bay 影灣園,86000.0,3.0,3.0,149.48, Peak/South, Hong Kong Island
Villa Cecil 趙苑,86000.0,4.0,2.0,178.19, Peak/South, Hong Kong Island
PACIFIC VIEW 浪琴園,86000.0,4.0,2.0,155.52, Peak/South, Hong Kong Island
Wing Hong Mansion 永康大廈,85000.0,2.0,1.5,125.7, Mid Level Central, Hong Kong Island
Greenfields 南莊苑,85000.0,4.0,4.0,221.48, Shatin, New Territories East
Repulse Bay Apartments 淺水灣花園大廈,85000.0,3.0,2.0,175.77, Peak/South, Hong Kong Island
The Leighton Hill 禮頓山,85000.0,1.0,1.0,117.06, Happy Valley/Mid Level East, Hong Kong Island
The Kennedy On Belcher's 雋庭,85000.0,3.0,2.0,77.48, Kennedy Town/Sai Yin Pun, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,85000.0,3.0,2.5,190.36, Peak/South, Hong Kong Island
Palm Court 棕櫚閣,85000.0,4.0,2.0,234.58, Mid Level West, Hong Kong Island
Panorama 全景大廈,85000.0,3.0,2.0,200.67, Mid Level Central, Hong Kong Island
The Forfar 懿薈,85000.0,4.0,3.0,166.11, Kai Tak, Kowloon
