Place,Price,Bedroom,Bathroom,Saleable Area,Area,Region
AZURA 蔚然,50000000.0,3.0,3.0,147.53, Mid Level West, Hong Kong Island
SEYMOUR 懿峰,49800000.0,3.0,2.0,129.88, Mid Level West, Hong Kong Island
AZURA 蔚然,49800000.0,4.0,4.0,147.62, Mid Level West, Hong Kong Island
BAGUIO VILLA 碧瑤灣,49000000.0,4.0,3.0,231.14, Peak/South, Hong Kong Island
Tregunter Tower 地利根德閣,49000000.0,3.0,2.0,148.83, Mid Level Central, Hong Kong Island
Dragon Lake Villa 龍湖別墅,49000000.0,3.0,3.0,201.51, Sai Kung, New Territories East
BOTANIC TERRACE 芝蘭台,48850000.0,4.0,2.0,175.87, Mid Level West, Hong Kong Island
The Harbourside 君臨天下,48800000.0,3.0,2.0,98.66, Kowloon Station, Kowloon
The Cullinan 天璽,49880000.0,3.0,3.0,80.92, Kowloon Station, Kowloon
Butler Towers 柏麗園,48000000.0,4.0,2.5,138.61, Wanchai/Causeway Bay, Hong Kong Island
Splendour Villa 雅景閣,48000000.0,1.0,2.0,114.64, Peak/South, Hong Kong Island
The Harbourside 君臨天下,48000000.0,3.0,2.0,97.64, Kowloon Station, Kowloon
HONG KONG PARKVIEW 陽明山莊,48000000.0,3.0,3.0,150.69, Peak/South, Hong Kong Island
REPULSE BAY GARDEN 淺水灣麗景園,48000000.0,3.0,2.0,140.56, Peak/South, Hong Kong Island
Valais 天巒,48000000.0,3.0,4.0,229.1, Sheung Shui/Fanling, New Territories East
AZURA 蔚然,48000000.0,4.0,4.0,147.62, Mid Level West, Hong Kong Island
MARINELLA 深湾九號,48000000.0,3.0,2.0,124.68, Aberdeen/Ap Lei Chau, Hong Kong Island
MARINELLA 深湾九號,48000000.0,3.0,2.0,102.66, Aberdeen/Ap Lei Chau, Hong Kong Island
SEYMOUR 懿峰,48000000.0,4.0,2.0,136.1, Mid Level West, Hong Kong Island
SEYMOUR 懿峰,48000000.0,4.0,2.0,129.88, Mid Level West, Hong Kong Island
The Masterpiece 名鑄,47000000.0,3.0,3.0,105.82, Tsimshatsui/Jordan, Kowloon
The Masterpiece 名鑄,47000000.0,2.0,3.0,96.71, Tsimshatsui/Jordan, Kowloon
MARINELLA 深湾九號,47000000.0,3.0,2.0,115.94, Aberdeen/Ap Lei Chau, Hong Kong Island
Regal Crest 薈萃苑,47000000.0,3.0,3.0,158.4, Mid Level West, Hong Kong Island
The Legend 名門,46500000.0,3.0,2.5,102.56, Wanchai/Causeway Bay, Hong Kong Island
THE SUMMA 高士台,46000000.0,3.0,3.0,140.56, Kennedy Town/Sai Yin Pun, Hong Kong Island
HONG KONG PARKVIEW 陽明山莊,46000000.0,3.0,3.0,150.69, Peak/South, Hong Kong Island
Yue Yan Mansion 裕仁大廈,46000000.0,4.0,3.0,191.75, Peak/South, Hong Kong Island
Catalina Mansion 嘉年大廈,46000000.0,3.0,2.0,157.66, Mid Level Central, Hong Kong Island
Catalina Mansion 嘉年大廈,46000000.0,3.0,2.0,157.66, Mid Level Central, Hong Kong Island
MY CENTRAL -,45000000.0,3.0,2.0,76.83, Sheung Wan/Central/Admiralty, Hong Kong Island
Pearl Gardens 明珠台,45000000.0,4.0,2.0,195.1, Mid Level West, Hong Kong Island
Pearl Gardens 明珠台,45000000.0,4.0,2.0,195.1, Mid Level West, Hong Kong Island
The Waterfront 漾日居,45000000.0,3.0,2.0,98.29, Tsimshatsui/Jordan, Kowloon
Hillsborough Court 曉峰閣,45000000.0,3.0,2.0,102.94, Mid Level Central, Hong Kong Island
MARINELLA 深湾九號,45000000.0,3.0,3.0,102.66, Aberdeen/Ap Lei Chau, Hong Kong Island
